SID,validity,target,nonTargetContrast,dis_dp,dis_c,det_dp,det_c,dis_dp_SS,dis_c_SS,det_dp_SS,det_c_SS
"S0001",1,1,1,3.11465852322288,-0.174335134510804,4.87267327319144,-0.125345298338301,3.0338384881985,-0.11919403092468,4.20643168445226,-0.0506588518353261
"S0001",2,1,1,2.20861029454863,-0.429815397078232,4.01660656148311,-0.145571413319902,2.20861029454863,-0.42981539707823,4.01660656148309,-0.145571413319902
"S0001",3,1,1,0.887146559018876,-0.443573279509438,3.687995238414,-0.309877074854455,0.887146559018874,-0.443573279509437,3.68799523841401,-0.309877074854455
"S0001",1,2,1,2.31263401283315,-0.101844554646522,3.81984349599712,-0.651760186935462,2.4009914916809,-0.0924732551599424,3.44538795924123,-0.431180714440837
"S0001",2,2,1,2.03749593939488,-0.131601410678566,2.93029645520938,-0.688726466456764,2.03749593939489,-0.131601410678566,2.93029645520937,-0.688726466456765
"S0001",3,2,1,2.68446992472856,0.191885581988269,4.01660656148311,-0.145571413319902,2.68446992472855,0.191885581988268,4.01660656148309,-0.145571413319902
"S0001",1,1,2,2.59421757811825,-0.424687743341936,4.59851606663541,0.262423901616318,2.42842084798886,-0.271014722959507,4.10594187422726,0.100903756947825
"S0001",2,1,2,2.29322555122675,-0.622212262905333,2.73300685631701,0.78737126590295,2.16925413965952,-0.560226557121713,2.73300685631701,0.787371265902948
"S0001",3,1,2,2.19955233781416,-0.669048869611625,3.30422407443746,0.501762656842724,2.0894889880592,-0.600109132921875,3.30422407443746,0.501762656842726
"S0001",1,2,2,2.34633834585246,-0.360951371426317,5.12336386986805,1.11022302462516e-15,2.32847807915197,-0.322019697440422,4.30774938812292,-0
"S0001",2,2,2,2.3882325050629,-0.306969693512574,4.01660656148311,0.145571413319902,2.38615605291814,-0.294093870599939,4.01660656148309,0.145571413319902
"S0001",3,2,2,2.99935433703807,-0.0344433758335119,3.3968524117742,0.164305661534553,2.96894364534916,-0.0192380299890591,3.39685241177418,0.164305661534553
"S0004",1,1,1,1.9348431322034,-0,3.52910350103572,-0.79713018441616,2.03955251830671,0.0169350670262303,3.14796058050805,-0.579894403807428
"S0004",2,1,1,0.993129114160457,-0.177925193115853,3.30422407443746,-0.501762656842724,0.993129114160462,-0.177925193115854,3.30422407443746,-0.501762656842726
"S0004",3,1,1,1.16326616131075,-0.0928566695407061,2.73300685631701,-0.78737126590295,1.16326616131075,-0.0928566695407059,2.73300685631701,-0.787371265902948
"S0004",1,2,1,3.41982825880203,-0.326920002300375,3.0212401834679,-1.05106184320007,3.13824349300756,-0.175310044612993,2.61539169642413,-0.846178845849391
"S0004",2,2,1,1.46898874434038,-0.415855008205817,2.07546228132834,-1.11614355339728,1.46898874434038,-0.415855008205814,2.07546228132834,-1.11614355339728
"S0004",3,2,1,0.831800434806253,0.258589532792956,2.93029645520938,-0.688726466456764,0.831800434806249,0.258589532792955,2.93029645520937,-0.688726466456765
"S0004",1,1,2,3.06907605669002,0.493531116588895,4.59851606663541,0.262423901616318,2.82017468090003,0.321981716295704,4.11103257112106,0.0983584085009258
"S0004",2,1,2,1.9523928502097,0.134575191531936,3.687995238414,0.309877074854455,1.95239285020971,0.134575191531936,3.68799523841401,0.309877074854455
"S0004",3,1,2,2.9446862524527,0.361571509589564,3.687995238414,0.309877074854455,2.9446862524527,0.361571509589566,3.68799523841401,0.309877074854455
"S0004",1,2,2,2.50733235866928,0.129327947766,4.59851606663541,0.262423901616318,2.56478660997469,0.103181409281258,4.11027154813043,0.0987389199962416
"S0004",2,2,2,3.03520649039657,-0.0165172991542608,4.01660656148311,0.145571413319902,2.99020673112654,-0.0102940335906369,4.01660656148309,0.145571413319902
"S0004",3,2,2,3.33686363509174,-0.134311273193322,3.687995238414,0.309877074854455,3.31961580602691,-0.142935187725729,3.68799523841401,0.309877074854455
"S0005",1,1,1,1.34274756168898,0.140844020655423,3.46134071863343,-0.580320978940706,1.40655276262447,0.15262597368078,3.24830645438202,-0.430441762986274
"S0005",2,1,1,2.03749593939488,0.131601410678566,3.16386486331104,-0.571942262405937,2.04905021309577,0.132303600958959,3.16386486331103,-0.57194226240594
"S0005",3,1,1,1.10521704949154,0.121881225450312,3.18074276472519,-0.272360485059058,1.10832690009626,0.123436150752669,3.1807427647252,-0.272360485059058
"S0005",1,2,1,2.33894203890453,-0.202049453350565,2.95305271353392,-0.83446498149046,2.39416440627688,-0.182085476074075,2.71073946132625,-0.698642973860879
"S0005",2,2,1,2.3523803517044,-0.289043616833323,2.20861029454863,-0.429815397078232,2.34813278075744,-0.291167402306801,2.20861029454863,-0.42981539707823
"S0005",3,2,1,3.7254637348433,-0,3.47188559136499,-0.41793189837896,3.60548618147837,-1.11022302462516e-16,3.47188559136498,-0.417931898378957
"S0005",1,1,2,1.91903572650698,0.322033702291112,3.36546379002747,0.628259443243683,1.94662529750072,0.305426338643182,3.13344476654236,0.48991060669258
"S0005",2,1,2,2.53280431656366,0.198831634403691,3.30422407443746,0.501762656842724,2.4851206746459,0.166905172530379,3.30422407443746,0.501762656842726
"S0005",3,1,2,2.7106978623711,0.335272698399348,2.53722161761773,0.594121058612785,2.73320928055979,0.324016989305006,2.53722161761774,0.594121058612785
"S0005",1,2,2,4.05613828986781,4.44089209850063e-16,4.34782546995881,0.137078603278016,3.50726581632541,0.00427194719989837,4.0121650206976,0.0493859083083972
"S0005",2,2,2,2.68446992472856,-0.191885581988269,4.30774938812291,-0,2.68446992472855,-0.191885581988268,4.30774938812292,-0
