sub_SID,sub_Validity,sub_Target,sub_nontargetContrast,dis_dPrime_sub,dis_crit_sub
"S0122",1,1,2,3.347582091004,0.188940821919642
"S0122",2,1,2,2.83639556239685,0.350627257320282
"S0122",3,1,2,2.44615310505905,0.203000319743323
"S0122",1,2,2,3.37146737320869,-0.176998180817294
"S0122",2,2,2,3.36803518016846,0.149897045731684
"S0122",3,2,2,2.90148515969406,-0.383172055968886
"S0108",1,1,1,2.13576331306523,-0.565988846793118
"S0108",2,1,1,1.56163630921496,-0.106328404411397
"S0108",3,1,1,1.21548118038817,-0.926379954158461
"S0108",1,2,1,2.59742841093618,-0.0966659168795813
"S0108",2,2,1,2.68446992472856,-0.191885581988269
"S0108",3,2,1,1.56163630921496,-0.106328404411397
"S0108",1,1,2,2.83813699401056,-0.331935520572872
"S0108",2,1,2,3.7254637348433,-0
"S0108",3,1,2,2.98426401619192,-0.341782627719953
"S0108",1,2,2,3.15739903636502,-0.171975888072569
"S0108",2,2,2,2.74987842644053,-0.487792654201388
"S0108",3,2,2,3.06824108870509,-0
"S0001",1,1,1,3.04351563910615,-0.110133972667114
"S0001",2,1,1,2.20861029454863,-0.429815397078232
"S0001",3,1,1,0.887146559018876,-0.443573279509438
"S0001",1,2,1,2.39297100167845,-0.101467282037663
"S0001",2,2,1,2.03749593939488,-0.131601410678566
"S0001",3,2,1,2.68446992472856,0.191885581988269
"S0001",1,1,2,1.62345641010796,-0.191117833445834
"S0001",2,1,2,1.86169746635912,-0.0892274996066437
"S0001",3,1,2,1.22236590703883,-0.180455654223959
"S0001",1,2,2,2.18364355051968,-0.315371208124834
"S0001",2,2,2,1.34897950039216,-0
"S0001",3,2,2,1.58473767995115,-0.708717106068448
"S0133",1,1,1,2.95216789651246,-0.275905903291127
"S0133",2,1,1,0.539273989302959,-0.353288728558608
"S0133",3,1,1,1.30766006498618,-0.496519347882919
"S0133",1,2,1,3.15471580034935,-0.0658768519973321
"S0133",2,2,1,2.20861029454863,-0.429815397078232
"S0133",3,2,1,1.82483913057209,-0.237929815089963
"S0133",1,1,2,2.99845839090603,0.133650778458755
"S0133",2,1,2,1.9523928502097,-0.134575191531936
"S0133",3,1,2,1.90919175745106,-0.112974645152614
"S0133",1,2,2,3.27524155951875,0.00676293818218262
"S0133",2,2,2,3.32796566010717,0.198749037368064
"S0133",3,2,2,3.69664650323757,-0.0144086158028687
