sub_SID,sub_Validity,sub_Target,sub_nontargetContrast,det_dPrime_sub,det_crit_sub,dis_dPrime_sub,dis_crit_sub
"S0070",3,2,1,3.16386486331104,-0.571942262405937,2.53722161761773,0.594121058612785
"S0070",1,1,2,3.91204398352057,0.100028712550176,2.99845839090603,0.133650778458755
"S0070",2,1,2,3.3968524117742,0.164305661534553,1.9523928502097,-0.134575191531936
"S0070",3,1,2,3.47188559136499,0.41793189837896,1.90919175745106,-0.112974645152614
"S0070",1,2,2,4.30774938812285,-0,3.27524155951875,0.00676293818218262
"S0070",2,2,2,3.687995238414,0.309877074854455,3.32796566010717,0.198749037368064
"S0070",3,2,2,4.01660656148311,0.145571413319902,3.69664650323757,-0.0144086158028687
"S0071",1,1,1,2.64832353527434,-0.725192651660587,2.8158702743153,-0.0130771303368907
"S0071",2,1,1,2.82836444425754,-0.739692471932687,1.16326616131075,0.0928566695407061
"S0071",3,1,1,2.82836444425754,-0.739692471932687,1.34897950039216,-0
"S0071",1,2,1,3.15538760705513,-0.576180890533911,2.42051652425614,-0.429412229886339
"S0071",2,2,1,2.73300685631701,-0.78737126590295,2.20861029454863,-0.429815397078232
"S0071",3,2,1,3.04102125308033,-0.63336406752129,2.03749593939488,-0.131601410678566
"S0071",1,1,2,3.33197689588428,0.487886246119343,1.92929238063845,-0.46920252646274
"S0071",2,1,2,2.46836027767954,0.0838307584637642,2.87959665515549,0.32902671094096
"S0071",3,1,2,2.93029645520938,0.688726466456764,2.75174062890845,-0.355794081668022
"S0071",1,2,2,3.63407158441443,0.24192634036965,3.00397863135166,-0.248686090579255
"S0071",2,2,2,3.47188559136499,0.41793189837896,3.63155690594036,-0.0469534144514727
"S0071",3,2,2,3.06824108870509,-0,3.33500058185994,0.166414344885945
"S0085",1,1,1,3.91402156337528,-0.00591222520147204,2.10234135928388,0.149363295887433
"S0085",2,1,1,4.01660656148311,-0.145571413319902,2.03749593939488,0.131601410678566
"S0085",3,1,1,4.30774938812291,-0,2.03749593939488,0.131601410678566
"S0085",1,2,1,3.66238131318054,-0.322684037471187,3.18346621397821,0.163214246465877
"S0085",2,2,1,3.47188559136499,-0.41793189837896,3.01308124779766,0.356191243522822
"S0085",3,2,1,3.47188559136499,-0.41793189837896,2.30069876075202,-0
"S0085",1,1,2,4.11701390678431,0.0953677406692709,3.26296499140359,-0.126750970983873
"S0085",2,1,2,3.04102125308033,0.63336406752129,2.79923492000039,0.332046936122052
"S0085",3,1,2,3.47188559136499,0.41793189837896,3.30294558287125,-0.11735224708308
"S0085",1,2,2,4.21341911229156,0.0471651379156482,3.27085224946992,-0.00566913225353595
"S0085",2,2,2,4.30774938812291,-0,3.01308124779766,-0.356191243522822
"S0085",3,2,2,4.30774938812291,-0,2.74987842644053,0.487792654201388
"S0105",1,1,1,4.21021654119852,0.0487664234621671,1.60594659288508,0.0321389625232514
"S0105",2,1,1,3.47188559136499,-0.41793189837896,2.30069876075202,-0
"S0105",3,1,1,4.01660656148311,0.145571413319902,1.29741547340617,-0.025782013492997
"S0105",1,2,1,3.8014459190111,-0.0602167263831012,2.22151856519867,0.52135080126211
"S0105",2,2,1,3.7254637348433,-0,1.99791817565566,-0.111812528808955
"S0105",3,2,1,4.30774938812291,-0,1.63912579149068,0.330786484630669
"S0105",1,1,2,4.30774938812285,-0,2.62350098220564,0.0836689075925268
"S0105",2,1,2,4.01660656148311,0.145571413319902,2.26112099701279,0.0197888818696113
"S0105",3,1,2,4.30774938812291,-0,2.20861029454863,0.429815397078232
"S0105",1,2,2,4.21545711207804,0.0461461380224089,2.38328674883632,0.17979565845877
"S0105",2,2,2,4.30774938812291,-0,1.82483913057209,0.237929815089963
"S0105",3,2,2,4.30774938812291,-0,1.77429311803775,-0
"S0108",1,1,1,3.64671465737941,-0.232693375620764,2.13576331306523,-0.565988846793118
"S0108",2,1,1,4.01660656148311,-0.145571413319902,1.56163630921496,-0.106328404411397
"S0108",3,1,1,4.01660656148311,-0.145571413319902,1.21548118038817,-0.926379954158461
"S0108",1,2,1,3.51335940197344,-0.397194993074751,2.59742841093618,-0.0966659168795813
"S0108",2,2,1,3.04102125308033,-0.63336406752129,2.68446992472856,-0.191885581988269
"S0108",3,2,1,3.30422407443746,-0.501762656842724,1.56163630921496,-0.106328404411397
"S0108",1,1,2,3.92474799675137,0.10153756225405,2.49551721446628,-0.0288391353363535
"S0108",2,1,2,3.47188559136499,0.41793189837896,3.30382903678322,-0.150828572347583
"S0108",3,1,2,3.04102125308033,0.63336406752129,2.27122726189206,-0.633211407572676
"S0108",1,2,2,4.30774938812285,-0,2.67541783253129,-0.413623712635575
"S0108",2,2,2,4.30774938812291,-0,2.42126710337142,-0.323486992666835
"S0108",3,2,2,4.30774938812291,-0,2.74987842644053,-0.487792654201388
"S0111",1,1,1,3.19038969877181,-0.461729283404511,2.79838830945771,-0.00312740846925815
"S0111",2,1,1,2.82836444425754,-0.739692471932687,2.68446992472856,0.191885581988269
"S0111",3,1,1,3.687995238414,0.309877074854455,2.456840359026,0.605494456302913
"S0111",1,2,1,2.9143237399318,-0.209982488345149,2.77438567536162,0.217088560234451
"S0111",2,2,1,4.30774938812291,-0,3.3968524117742,-0.164305661534553
"S0111",3,2,1,4.01660656148311,-0.145571413319902,2.42126710337142,0.323486992666835
"S0111",1,1,2,3.18392736217713,0.172043279653314,2.58488114399607,0.444433158688147
"S0111",2,1,2,3.30422407443746,0.501762656842724,1.79446717816522,0.603852356961416
"S0111",3,1,2,3.16386486331104,0.571942262405937,2.04434303006384,0.811743120783995
"S0111",1,2,2,3.81045603002381,0.0490933707741406,2.73119888249969,0.394934304697313
"S0111",2,2,2,4.01660656148311,0.145571413319902,3.69664650323757,0.0144086158028687
"S0111",3,2,2,3.687995238414,0.309877074854455,2.9446862524527,0.361571509589564
"S0122",1,1,1,3.24706897701191,-0.530340205555526,1.28052717780912,-0.00199889410178387
"S0122",2,1,1,3.30422407443746,-0.501762656842724,0.887146559018876,0.443573279509438
"S0122",3,1,1,4.01660656148311,-0.145571413319902,2.30069876075202,-0
"S0122",1,2,1,3.73001617723495,-0.288866605443974,2.86749724512379,-0.312983447816362
"S0122",2,2,1,3.30422407443746,-0.501762656842724,2.68446992472856,-0.191885581988269
"S0122",3,2,1,3.7254637348433,-0,2.37574177792546,0.346249655389816
"S0122",1,1,2,3.57411594476655,0.275980159766553,2.65320722291646,0.17817596206882
"S0122",2,1,2,4.30774938812291,-0,2.03749593939488,0.131601410678566
"S0122",3,1,2,3.7254637348433,-0,1.11077161663679,0.555385808318393
"S0122",1,2,2,3.70441433452624,0.0970149164843316,3.26602870386095,-0.00506824330949291
"S0122",2,2,2,4.01660656148311,0.145571413319902,2.97350348405844,-0.375980125392433
"S0122",3,2,2,3.687995238414,0.309877074854455,1.9523928502097,0.134575191531936
"S0133",1,1,1,3.92695058932921,-0.190399399396828,2.95216789651246,-0.275905903291127
"S0133",2,1,1,2.42126710337142,-0.323486992666835,0.539273989302959,-0.353288728558608
"S0133",3,1,1,3.687995238414,-0.309877074854455,1.30766006498618,-0.496519347882919
"S0133",1,2,1,4.10692770819642,-0.100410839963221,3.15471580034935,-0.0658768519973321
"S0133",2,2,1,4.30774938812291,-0,2.20861029454863,-0.429815397078232
"S0133",3,2,1,3.16386486331104,-0.571942262405937,1.82483913057209,-0.237929815089963
"S0133",1,1,2,3.93395946873577,0.186894959693549,3.00964022115163,-0.357911756845833
"S0133",2,1,2,4.30774938812291,-0,2.68446992472856,-0.191885581988269
"S0133",3,1,2,3.47188559136499,0.41793189837896,2.17834214051493,-0.021600546379322
"S0133",1,2,2,4.11384826558076,0.000582285653279609,3.04457916124721,-0.121273782871474
"S0133",2,2,2,4.01660656148311,0.145571413319902,3.03520649039657,0.0165172991542608
"S0133",3,2,2,3.47188559136499,0.41793189837896,2.96631973872955,-0.0179260766792511
"S0135",1,1,1,3.73809231979312,-0.192827400946701,2.2439788006084,-0.177655935739219
"S0135",2,1,1,4.30774938812291,-0,2.03749593939488,-0.131601410678566
"S0135",3,1,1,4.01660656148311,-0.145571413319902,0.64608709572484,-0.165732863252249
"S0135",1,2,1,3.75664513572789,-0.275552126197502,2.16833025440387,-0.313917095555745
"S0135",2,2,1,3.16386486331104,-0.571942262405937,1.56163630921496,-0.106328404411397
"S0135",3,2,1,3.687995238414,-0.309877074854455,1.82483913057209,-0.237929815089963
"S0135",1,1,2,3.34801048753095,0.479869450296007,2.35180178209276,-0.044965898398441
"S0135",2,1,2,3.16386486331104,0.571942262405937,1.81171484052958,0.114218812521413
"S0135",3,1,2,3.16386486331104,0.571942262405937,1.58602505471906,0.227063705426669
"S0135",1,2,2,4.00958620508355,0.149081591519657,2.48343176072209,-0.0511215925440177
"S0135",2,2,2,3.687995238414,0.309877074854455,2.3523803517044,-0.289043616833323
"S0135",3,2,2,3.687995238414,0.309877074854455,1.464546956783,-0.109347755181413
"S0149",1,1,1,4.30774938812285,-0,3.28306837598676,-0.00153508465590615
"S0149",2,1,1,4.30774938812291,-0,1.46898874434038,-0.415855008205817
"S0149",3,1,1,4.01660656148311,0.145571413319902,1.516110983769,0.0835657416884162
"S0149",1,2,1,4.00917061895865,-0.149289384582108,2.85262716523436,-0.320418487761075
"S0149",2,2,1,4.01660656148311,-0.145571413319902,2.20861029454863,-0.429815397078232
"S0149",3,2,1,3.47188559136499,-0.41793189837896,1.63912579149068,-0.330786484630669
"S0149",1,1,2,4.10724771437469,0.100250836874084,3.15456183460024,-0.285450950121521
"S0149",2,1,2,3.16386486331104,0.571942262405937,2.80133620191762,-0.433246534857107
"S0149",3,1,2,3.30422407443746,0.501762656842724,2.19955233781416,-0.669048869611625
"S0149",1,2,2,4.11384826558076,-0.000873428479919414,3.38149823559061,-0.171982749626333
"S0149",2,2,2,4.30774938812291,-0,3.3968524117742,-0.164305661534553
"S0149",3,2,2,3.30422407443746,0.501762656842724,3.26797688342471,-0.168754649026834
