SID,validity,target,nonTargetContrast,dis_dp,dis_c,det_dp,det_c,dis_dp_SS,dis_c_SS,det_dp_SS,det_c_SS
"S0001",1,1,1,3.11465852322288,-0.174335134510804,4.87267327319144,-0.125345298338301,3.02922557538855,-0.119473659550336,4.21545711207809,-0.0461461380224091
"S0001",2,1,1,2.20861029454863,-0.429815397078232,4.01660656148311,-0.145571413319902,2.20861029454863,-0.42981539707823,4.01660656148309,-0.145571413319902
"S0001",3,1,1,0.887146559018876,-0.443573279509438,3.687995238414,-0.309877074854455,0.887146559018874,-0.443573279509437,3.68799523841401,-0.309877074854455
"S0001",1,2,1,2.31263401283315,-0.101844554646522,3.81984349599712,-0.651760186935462,2.4141215698444,-0.102922070570468,3.45267969349543,-0.427534847313739
"S0001",2,2,1,2.03749593939488,-0.131601410678566,2.93029645520938,-0.688726466456764,2.03749593939489,-0.131601410678566,2.93029645520937,-0.688726466456765
"S0001",3,2,1,2.68446992472856,0.191885581988269,4.01660656148311,-0.145571413319902,2.68446992472855,0.191885581988268,4.01660656148309,-0.145571413319902
"S0001",1,1,2,2.59421757811825,-0.424687743341936,4.59851606663541,0.262423901616318,2.38380923544123,-0.29618726714174,4.10365020011057,0.10204959400617
"S0001",2,1,2,2.29322555122675,-0.622212262905333,2.73300685631701,0.78737126590295,2.16925413965952,-0.560226557121713,2.73300685631701,0.787371265902948
"S0001",3,1,2,2.19955233781416,-0.669048869611625,3.30422407443746,0.501762656842724,2.09061324860556,-0.599547002648697,3.30422407443746,0.501762656842726
"S0001",1,2,2,2.34633834585246,-0.360951371426317,5.12336386986805,1.11022302462516e-15,2.37017877429035,-0.329327893219325,4.30774938812292,-0
"S0001",2,2,2,2.3882325050629,-0.306969693512574,4.01660656148311,0.145571413319902,2.38927953770285,-0.295907221188123,4.01660656148309,0.145571413319902
"S0001",3,2,2,2.99935433703807,-0.0344433758335119,3.3968524117742,0.164305661534553,2.97636884990634,-0.0229506322676494,3.39685241177418,0.164305661534553
"S0004",1,1,1,1.9348431322034,-0,3.52910350103572,-0.79713018441616,2.00354974151565,0.00109094630876728,3.13400839654112,-0.586870495790896
"S0004",2,1,1,0.993129114160457,-0.177925193115853,3.30422407443746,-0.501762656842724,0.993129114160462,-0.177925193115854,3.30422407443746,-0.501762656842726
"S0004",3,1,1,1.16326616131075,-0.0928566695407061,2.73300685631701,-0.78737126590295,1.16326616131075,-0.0928566695407059,2.73300685631701,-0.787371265902948
"S0004",1,2,1,3.41982825880203,-0.326920002300375,3.0212401834679,-1.05106184320007,3.15462718758917,-0.171718755845154,2.6194813476296,-0.844134020246657
"S0004",2,2,1,1.46898874434038,-0.415855008205817,2.07546228132834,-1.11614355339728,1.46898874434038,-0.415855008205814,2.07546228132834,-1.11614355339728
"S0004",3,2,1,0.831800434806253,0.258589532792956,2.93029645520938,-0.688726466456764,0.831800434806249,0.258589532792955,2.93029645520937,-0.688726466456765
"S0004",1,1,2,3.06907605669002,0.493531116588895,4.59851606663541,0.262423901616318,2.80992588347537,0.321780855971683,4.10453223373528,0.101608577193813
"S0004",2,1,2,1.9523928502097,0.134575191531936,3.687995238414,0.309877074854455,1.95239285020971,0.134575191531936,3.68799523841401,0.309877074854455
"S0004",3,1,2,2.9446862524527,0.361571509589564,3.687995238414,0.309877074854455,2.9446862524527,0.361571509589566,3.68799523841401,0.309877074854455
"S0004",1,2,2,2.50733235866928,0.129327947766,4.59851606663541,0.262423901616318,2.58424474278378,0.0993597549544515,4.11774606642336,0.0950016608497735
"S0004",2,2,2,3.03520649039657,-0.0165172991542608,4.01660656148311,0.145571413319902,2.99223178691487,-0.00860648710036853,4.01660656148309,0.145571413319902
"S0004",3,2,2,3.33686363509174,-0.134311273193322,3.687995238414,0.309877074854455,3.30847799919114,-0.148504091143614,3.68799523841401,0.309877074854455
"S0005",1,1,1,1.34274756168898,0.140844020655423,3.46134071863343,-0.580320978940706,1.4191207899278,0.146771703371358,3.24522911942776,-0.429651287850282
"S0005",2,1,1,2.03749593939488,0.131601410678566,3.16386486331104,-0.571942262405937,2.05467554864973,0.130271561840792,3.16386486331103,-0.57194226240594
"S0005",3,1,1,1.10521704949154,0.121881225450312,3.18074276472519,-0.272360485059058,1.10592124948226,0.122233325445673,3.1807427647252,-0.272360485059058
"S0005",1,2,1,2.33894203890453,-0.202049453350565,2.95305271353392,-0.83446498149046,2.39924551096536,-0.181964679291514,2.71747362311847,-0.701389892324204
"S0005",2,2,1,2.3523803517044,-0.289043616833323,2.20861029454863,-0.429815397078232,2.35389488178548,-0.288286351792781,2.20861029454863,-0.42981539707823
"S0005",3,2,1,3.7254637348433,-0,3.47188559136499,-0.41793189837896,3.60548618147837,-1.11022302462516e-16,3.47188559136498,-0.417931898378957
"S0005",1,1,2,1.91903572650698,0.322033702291112,3.36546379002747,0.628259443243683,1.96421677848143,0.304581124251097,3.13580558756126,0.491932767276169
"S0005",2,1,2,2.53280431656366,0.198831634403691,3.30422407443746,0.501762656842724,2.50724163971736,0.151579363273057,3.30422407443746,0.501762656842726
"S0005",3,1,2,2.7106978623711,0.335272698399348,2.53722161761773,0.594121058612785,2.7290846338322,0.326079312668798,2.53722161761774,0.594121058612785
"S0005",1,2,2,4.05613828986781,4.44089209850063e-16,4.34782546995881,0.137078603278016,3.50397970309471,0.00427194719989837,4.01665317373128,0.047724117444837
"S0005",2,2,2,2.68446992472856,-0.191885581988269,4.30774938812291,-0,2.68446992472855,-0.191885581988268,4.30774938812292,-0
"S0005",3,2,2,3.06824108870509,-0,4.30774938812291,-0,3.06824108870509,-0,4.30774938812292,-0
"S0007",1,1,1,1.68888886035855,-0.41371713088382,2.45704847931995,-1.33315769527405,1.76349264189063,-0.42033921799601,2.04314890530136,-1.13230024141078
"S0007",2,1,1,1.82483913057209,-0.237929815089963,2.39107680339024,-0.958336292366334,1.8248391305721,-0.237929815089963,2.39107680339024,-0.958336292366338
"S0007",3,1,1,1.46898874434038,-0.415855008205817,2.55612475938318,-0.875812314369866,1.46898874434038,-0.415855008205814,2.55612475938319,-0.875812314369861
"S0007",1,2,1,2.28787373584857,0.00641251245172569,2.6572256018573,-0.982378537328769,2.39582570539501,0.0165514080184669,2.42105991723101,-0.849305602441297
"S0007",2,2,1,1.77429311803775,-0,2.47251405802583,-0.917617665048541,1.77429311803775,-0,2.47251405802582,-0.917617665048539
