sdt_SID,sdt_Validity,sdt_Target,sdt_nontargetContrast,dis_over2N_dPrime,dis_over2N_crit
"S0007",1,1,2,1.68888886035855,-0.41371713088382
"S0007",2,1,2,1.82483913057209,-0.237929815089963
"S0007",3,1,2,1.46898874434038,-0.415855008205817
"S0007",1,2,2,2.28787373584857,0.00641251245172569
"S0007",2,2,2,1.77429311803775,-0
"S0007",3,2,2,3.3968524117742,-0.164305661534553
"S0007",1,1,3,2.13851990466234,-0.356816919941679
"S0007",2,1,3,1.83134014948609,-0.549563717942477
"S0007",3,1,3,1.03531264587869,0.0869290236438899
"S0007",1,2,3,2.19788610091471,-0.424453300261275
"S0007",2,2,3,1.30766006498618,-0.496519347882919
"S0007",3,2,3,1.86273186742165,-0.931365933710826
"S0013",1,1,1,2.61390794315908,0.419807412560662
"S0013",2,1,1,3.0060924796573,0.638151881143368
"S0013",3,1,1,2.17557569624011,0.413298097923972
"S0013",1,2,1,2.2457503206294,0.326014421487986
"S0013",2,2,1,3.47188559136499,0.41793189837896
"S0013",3,2,1,2.72762622610693,0.498918754368184
"S0013",1,1,2,2.27571458821406,0.396263250245515
"S0013",2,1,2,3.01308124779766,0.356191243522822
"S0013",3,1,2,2.02289695546722,0.522672066618939
"S0013",1,2,2,1.96256718187592,0.169065789438048
"S0013",2,2,2,3.7254637348433,-0
"S0013",3,2,2,2.42126710337142,0.323486992666835
"S0013",1,1,3,3.08254159670396,0.486798346581927
"S0013",2,1,3,2.456840359026,0.605494456302913
"S0013",3,1,3,2.3523803517044,0.289043616833323
"S0013",1,2,3,2.80910295645662,0.623517666705599
"S0013",2,2,3,2.74987842644053,0.487792654201388
"S0013",3,2,3,2.70435310099457,0.510555316924369
"S0015",1,1,1,2.49585870437147,0.123591120617097
"S0015",2,1,1,2.21145315028294,0.377813284259826
"S0015",3,1,1,1.53984812472775,0.174745529030599
"S0015",1,2,1,4.17049122438599,-0.465389353554723
"S0015",2,2,1,3.38271683285395,0.157237872074431
"S0015",3,2,1,2.62870077623106,-0.203578771478746
"S0015",1,1,2,1.85456812512058,0.0401375035414126
"S0015",2,1,2,1.63912579149068,0.330786484630669
"S0015",3,1,2,0.993129114160457,0.177925193115853
"S0015",1,2,2,4.04265573437967,-0.289663471067587
"S0015",2,2,2,3.06824108870509,-0
"S0015",3,2,2,2.30069876075202,-0
"S0015",1,1,3,3.78436525157104,0.402712583457578
"S0015",2,1,3,2.83639556239685,0.350627257320282
"S0015",3,1,3,2.44615310505905,0.203000319743323
"S0015",1,2,3,3.80994430202961,-0.381575800296175
"S0015",2,2,3,3.36803518016846,0.149897045731684
"S0015",3,2,3,2.90148515969406,-0.383172055968886
"S0018",1,1,1,2.61229111409986,0.00599212368650692
"S0018",2,1,1,2.83594005689782,-0.0999591311453708
"S0018",3,1,1,1.87631518635951,-0.0510110341608796
"S0018",1,2,1,3.05751689507118,0.00536209681695732
"S0018",2,2,1,3.16386486331104,-0.571942262405937
"S0018",3,2,1,2.46836027767954,0.0838307584637642
"S0018",1,1,2,2.69908596222395,0.382121415010272
"S0018",2,1,2,1.99791817565566,-0.111812528808955
"S0018",3,1,2,1.16326616131075,0.0928566695407061
"S0018",1,2,2,2.98982595718534,0.236751417529574
"S0018",2,2,2,3.01308124779766,-0.356191243522822
"S0018",3,2,2,2.03749593939488,0.131601410678566
"S0018",1,1,3,3.0508816839515,-0.484433930219633
"S0018",2,1,3,3.7254637348433,-0
"S0018",3,1,3,2.98426401619192,-0.341782627719953
"S0018",1,2,3,3.40208032768378,-0.318046036741252
"S0018",2,2,3,2.74987842644053,-0.487792654201388
"S0018",3,2,3,3.06824108870509,-0
"S0019",1,1,1,1.48265362099348,-0.261821157165792
"S0019",2,1,1,1.46007289201856,0.134857912676003
"S0019",3,1,1,1.00786207466735,-0.463490528768028
"S0019",1,2,1,1.76037500718302,-0.263793346326621
"S0019",2,2,1,1.6635683201668,-0.0553623989354743
"S0019",3,2,1,1.06843859021777,-0.330675063576398
"S0019",1,1,2,1.42856786196778,-0.340188520786165
"S0019",2,1,2,1.20578592298325,0.28425359752725
"S0019",3,1,2,0.831710016411633,-0.734494372170192
"S0019",1,2,2,1.45619797721637,-0.239322577493516
"S0019",2,2,2,2.03749593939488,-0.131601410678566
