sub_SID,sub_Validity,sub_Target,sub_nontargetContrast,det_dPrime_sub,det_crit_sub,dis_dPrime_sub,dis_crit_sub
"S0019",3,2,2,3.687995238414,0.309877074854455,1.58473767995115,-0.708717106068448
"S0070",1,1,1,3.83408250491263,-0.236833441605126,2.80352230718799,0.0996220548852062
"S0070",2,1,1,3.687995238414,-0.309877074854455,2.68446992472856,0.191885581988269
"S0070",3,1,1,4.01660656148311,-0.145571413319902,1.56163630921496,0.106328404411397
"S0070",1,2,1,3.66147477420132,-0.323137306960795,3.16750315362621,0.278980290608537
"S0070",2,2,1,4.01660656148311,-0.145571413319902,2.68446992472856,0.191885581988269
"S0070",3,2,1,3.16386486331104,-0.571942262405937,2.53722161761773,0.594121058612785
"S0070",1,1,2,3.91313210890473,0.106472077697449,3.00965675598738,0.128768673849879
"S0070",2,1,2,3.3968524117742,0.164305661534553,1.9523928502097,-0.134575191531936
"S0070",3,1,2,3.47188559136499,0.41793189837896,1.90919175745106,-0.112974645152614
"S0070",1,2,2,4.30774938812285,-0,3.25222702829205,-0.00786261341676804
"S0070",2,2,2,3.687995238414,0.309877074854455,3.32796566010717,0.198749037368064
"S0070",3,2,2,4.01660656148311,0.145571413319902,3.69664650323757,-0.0144086158028687
"S0071",1,1,1,2.64742706420067,-0.731463743730225,2.80004068634495,-0.00476901381842326
"S0071",2,1,1,2.82836444425754,-0.739692471932687,1.16326616131075,0.0928566695407061
"S0071",3,1,1,2.82836444425754,-0.739692471932687,1.34897950039216,-0
"S0071",1,2,1,3.14337725900975,-0.582186064556603,2.42901240936647,-0.434043836221168
"S0071",2,2,1,2.73300685631701,-0.78737126590295,2.20861029454863,-0.429815397078232
"S0071",3,2,1,3.04102125308033,-0.63336406752129,2.03749593939488,-0.131601410678566
"S0071",1,1,2,3.33558939071885,0.486079998702055,1.89649616237761,-0.470091341679724
"S0071",2,1,2,2.46836027767954,0.0838307584637642,2.87959665515549,0.32902671094096
"S0071",3,1,2,2.93029645520938,0.688726466456764,2.75174062890845,-0.355794081668022
"S0071",1,2,2,3.637123003797,0.239236059371808,3.00960966932615,-0.250471130114975
"S0071",2,2,2,3.47188559136499,0.41793189837896,3.63155690594036,-0.0469534144514727
"S0071",3,2,2,3.06824108870509,-0,3.33500058185994,0.166414344885945
"S0085",1,1,1,3.8980780876754,-0.00349801649207495,2.10027090327814,0.136461595288441
"S0085",2,1,1,4.01660656148311,-0.145571413319902,2.03749593939488,0.131601410678566
"S0085",3,1,1,4.30774938812291,-0,2.03749593939488,0.131601410678566
"S0085",1,2,1,3.64288683876722,-0.332431274677847,3.1705414362809,0.16639052208384
"S0085",2,2,1,3.47188559136499,-0.41793189837896,3.01308124779766,0.356191243522822
"S0085",3,2,1,3.47188559136499,-0.41793189837896,2.30069876075202,-0
"S0085",1,1,2,4.11466450596436,0.0965424410792501,3.2466298008264,-0.122102724672775
"S0085",2,1,2,3.04102125308033,0.63336406752129,2.79923492000039,0.332046936122052
"S0085",3,1,2,3.47188559136499,0.41793189837896,3.30294558287125,-0.11735224708308
"S0085",1,2,2,4.2166216833846,0.0455638523691293,3.2670192332749,-0.00501190960739773
"S0085",2,2,2,4.30774938812291,-0,3.01308124779766,-0.356191243522822
"S0085",3,2,2,4.30774938812291,-0,2.74987842644053,0.487792654201388
"S0105",1,1,1,4.21603939773132,0.0458549951957691,1.62456577924402,0.0418901227855584
"S0105",2,1,1,3.47188559136499,-0.41793189837896,2.30069876075202,-0
"S0105",3,1,1,4.01660656148311,0.145571413319902,1.29741547340617,-0.025782013492997
"S0105",1,2,1,3.82139331283486,-0.0565560243748493,2.16606844375031,0.533240315470941
"S0105",2,2,1,3.7254637348433,-0,1.99791817565566,-0.111812528808955
"S0105",3,2,1,4.30774938812291,-0,1.63912579149068,0.330786484630669
"S0105",1,1,2,4.30774938812285,-0,2.60575986674419,0.109641401322222
"S0105",2,1,2,4.01660656148311,0.145571413319902,2.26112099701279,0.0197888818696113
"S0105",3,1,2,4.30774938812291,-0,2.20861029454863,0.429815397078232
"S0105",1,2,2,4.21167225533172,0.0480385663955676,2.39899567198496,0.191551486875381
"S0105",2,2,2,4.30774938812291,-0,1.82483913057209,0.237929815089963
"S0105",3,2,2,4.30774938812291,-0,1.77429311803775,-0
"S0108",1,1,1,3.62865988101392,-0.247252477509665,2.13798916737216,-0.553530611965458
"S0108",2,1,1,4.01660656148311,-0.145571413319902,1.56163630921496,-0.106328404411397
"S0108",3,1,1,4.01660656148311,-0.145571413319902,1.21548118038817,-0.926379954158461
"S0108",1,2,1,3.51198161615983,-0.397883885981554,2.57719211439592,-0.100302276723646
"S0108",2,2,1,3.04102125308033,-0.63336406752129,2.68446992472856,-0.191885581988269
"S0108",3,2,1,3.30422407443746,-0.501762656842724,1.56163630921496,-0.106328404411397
"S0108",1,1,2,3.91268152508026,0.101456798730169,2.46420952373891,-0.0539815047374729
"S0108",2,1,2,3.47188559136499,0.41793189837896,3.30382903678322,-0.150828572347583
"S0108",3,1,2,3.04102125308033,0.63336406752129,2.27122726189206,-0.633211407572676
"S0108",1,2,2,4.30774938812285,-0,2.66434384713911,-0.423104041208498
"S0108",2,2,2,4.30774938812291,-0,2.42126710337142,-0.323486992666835
"S0108",3,2,2,4.30774938812291,-0,2.74987842644053,-0.487792654201388
"S0111",1,1,1,3.19823270930698,-0.452567207257408,2.80720596805346,-0.0066481270965615
"S0111",2,1,1,2.82836444425754,-0.739692471932687,2.68446992472856,0.191885581988269
"S0111",3,1,1,3.687995238414,0.309877074854455,2.456840359026,0.605494456302913
"S0111",1,2,1,2.89972057413598,-0.212842332405871,2.80064911120743,0.220010680468149
"S0111",2,2,1,4.30774938812291,-0,3.3968524117742,-0.164305661534553
"S0111",3,2,1,4.01660656148311,-0.145571413319902,2.42126710337142,0.323486992666835
"S0111",1,1,2,3.17375572383965,0.157443437653544,2.57608063226741,0.450476471167822
"S0111",2,1,2,3.30422407443746,0.501762656842724,1.79446717816522,0.603852356961416
"S0111",3,1,2,3.16386486331104,0.571942262405937,2.04434303006384,0.811743120783995
