sub_SID,sub_Validity,sub_Target,sub_nontargetContrast,det_dPrime_sub,det_crit_sub
"S0122",2,1,2,4.33221350578466,-2.22044604925031e-16
"S0122",3,1,2,3.3812432591698,-3.33066907387547e-16
"S0122",1,2,2,4.00241135170805,0.149853478993328
"S0122",2,2,2,3.85672838247723,0.237742561653715
"S0122",3,2,2,3.60030691257871,0.365953296602975
"S0133",1,1,1,4.40968185652402,-0.356841006672008
"S0133",2,1,1,2.28669519396107,-0.290852562705843
"S0133",3,1,1,3.60030691257871,-0.365953296602975
"S0133",1,2,1,4.70246547587557,-0.210449196996237
"S0133",2,2,1,4.33221350578466,-2.22044604925031e-16
"S0133",3,2,1,3.13352831899403,-0.599342593395314
"S0133",1,1,2,4.41246950592255,0.355447181972745
"S0133",2,1,2,4.33221350578466,-2.22044604925031e-16
"S0133",3,1,2,3.41386060824365,0.459176448770503
"S0133",1,2,2,4.66275577537737,0.0031452753038064
"S0133",2,2,2,3.85672838247723,0.237742561653715
"S0133",3,2,2,3.41386060824365,0.459176448770503
