sub_SID,sub_Validity,sub_Target,sub_nontargetContrast,det_dPrime_sub,det_crit_sub
"S0004",1,1,1,3.56711263876157,-0.778125615553242
"S0004",2,1,1,3.26291031498584,-0.534651595399408
"S0004",3,1,1,2.72569902711976,-0.803257239332449
"S0004",1,2,1,3.03496880186295,-1.04419753400255
"S0004",2,2,1,2.09007512977194,-1.12106918800636
"S0004",3,2,1,2.91396534765563,-0.709124079064514
"S0004",1,1,2,4.6958045865235,0.213779641672267
"S0004",2,1,2,3.60030691257871,0.365953296602975
"S0004",3,1,2,3.60030691257871,0.365953296602975
"S0004",1,2,2,4.69198122486287,0.215691322502582
"S0004",2,2,2,3.85672838247723,0.237742561653715
"S0004",3,2,2,3.60030691257871,0.365953296602975
"S0005",1,1,1,3.52115040736663,-0.573947959309191
"S0005",2,1,1,3.13352831899403,-0.599342593395314
"S0005",3,1,1,2.93837548493622,-0.221433887116787
"S0005",1,2,1,2.99803636120236,-0.827117581581177
"S0005",2,2,1,2.08503746613086,-0.391681426620951
"S0005",3,2,1,3.41386060824365,-0.459176448770503
"S0005",1,1,2,3.42133062533245,0.625954700528812
"S0005",2,1,2,3.26291031498584,0.534651595399408
"S0005",3,1,2,2.34145893602938,0.519892161570211
"S0005",1,2,2,4.43982195212847,0.0971384352404482
"S0005",2,2,2,4.33221350578466,-2.22044604925031e-16
"S0005",3,2,2,4.33221350578466,-2.22044604925031e-16
"S0007",1,1,1,2.4665690708652,-1.32839739950142
"S0007",2,1,1,2.39599087047156,-0.968111317656549
"S0007",3,1,1,2.55552105074447,-0.888346227520093
"S0007",1,2,1,2.68693342350811,-0.985464850698348
"S0007",2,2,1,2.47477255858726,-0.928720473598698
"S0007",3,2,1,2.39599087047156,-0.968111317656549
"S0007",1,1,2,3.59790012223777,0.76273187381514
"S0007",2,1,2,3.26291031498584,0.534651595399408
"S0007",3,1,2,2.47477255858726,0.928720473598698
"S0007",1,2,2,4.89760299806154,0.112880435903249
"S0007",2,2,2,4.33221350578466,-2.22044604925031e-16
"S0007",3,2,2,4.33221350578466,-2.22044604925031e-16
"S0013",1,1,1,4.28667778137913,-0.41834304424446
