SID,Validity,Target,targetContrast,nontargetContrast,swapAcc
"S0019",1,1,0,0,0
"S0019",2,1,0,0,0
"S0019",3,1,0,0,0
"S0019",1,2,0,0,0
"S0019",2,2,0,0,0
"S0019",3,2,0,0,0
"S0070",1,1,1,1,6.25
"S0070",2,1,1,1,3.125
"S0070",3,1,1,1,12.5
"S0070",1,2,1,1,1.04166666666667
"S0070",2,2,1,1,3.125
"S0070",3,2,1,1,3.125
"S0070",1,1,1,0,3.125
"S0070",2,1,1,0,0
"S0070",3,1,1,0,3.125
"S0070",1,2,1,0,6.25
"S0070",2,2,1,0,3.125
"S0070",3,2,1,0,15.625
"S0070",1,1,0,1,3.125
"S0070",2,1,0,1,6.25
"S0070",3,1,0,1,9.375
"S0070",1,2,0,1,0
"S0070",2,2,0,1,6.25
"S0070",3,2,0,1,3.125
"S0070",1,1,0,0,0
"S0070",2,1,0,0,0
"S0070",3,1,0,0,0
"S0070",1,2,0,0,0
"S0070",2,2,0,0,0
"S0070",3,2,0,0,0
"S0071",1,1,1,1,8.33333333333333
"S0071",2,1,1,1,15.625
"S0071",3,1,1,1,12.5
"S0071",1,2,1,1,6.25
"S0071",2,2,1,1,15.625
"S0071",3,2,1,1,3.125
"S0071",1,1,1,0,26.0416666666667
"S0071",2,1,1,0,25
"S0071",3,1,1,0,21.875
"S0071",1,2,1,0,14.5833333333333
"S0071",2,2,1,0,25
"S0071",3,2,1,0,12.5
"S0071",1,1,0,1,12.5
"S0071",2,1,0,1,12.5
"S0071",3,1,0,1,21.875
"S0071",1,2,0,1,6.25
"S0071",2,2,0,1,9.375
"S0071",3,2,0,1,6.25
"S0071",1,1,0,0,0
"S0071",2,1,0,0,0
"S0071",3,1,0,0,0
"S0071",1,2,0,0,0
"S0071",2,2,0,0,0
"S0071",3,2,0,0,0
"S0085",1,1,1,1,7.29166666666667
"S0085",2,1,1,1,9.375
"S0085",3,1,1,1,6.25
"S0085",1,2,1,1,2.08333333333333
"S0085",2,2,1,1,0
"S0085",3,2,1,1,6.25
"S0085",1,1,1,0,2.08333333333333
"S0085",2,1,1,0,3.125
"S0085",3,1,1,0,0
"S0085",1,2,1,0,5.20833333333333
"S0085",2,2,1,0,9.375
"S0085",3,2,1,0,9.375
"S0085",1,1,0,1,2.08333333333333
"S0085",2,1,0,1,18.75
"S0085",3,1,0,1,9.375
"S0085",1,2,0,1,1.04166666666667
"S0085",2,2,0,1,0
"S0085",3,2,0,1,0
"S0085",1,1,0,0,0
"S0085",2,1,0,0,0
"S0085",3,1,0,0,0
"S0085",1,2,0,0,0
"S0085",2,2,0,0,0
"S0085",3,2,0,0,0
"S0105",1,1,1,1,13.5416666666667
"S0105",2,1,1,1,3.125
"S0105",3,1,1,1,9.375
"S0105",1,2,1,1,6.25
"S0105",2,2,1,1,3.125
"S0105",3,2,1,1,12.5
"S0105",1,1,1,0,0
"S0105",2,1,1,0,6.25
"S0105",3,1,1,0,0
"S0105",1,2,1,0,3.125
"S0105",2,2,1,0,3.125
