SID,Validity,Target,targetContrast,nontargetContrast,Acc,RT
"S0015",1,1,1,0,90.625,0.560069260497888
"S0015",2,1,1,0,78.125,0.755161769688129
"S0015",3,1,1,0,71.875,0.859705403447151
"S0015",1,2,1,0,92.7083333333333,0.566135562956333
"S0015",2,2,1,0,93.75,0.619358696043491
"S0015",3,2,1,0,84.375,0.716868504881859
"S0015",1,1,0,0,100,0.51513309776783
"S0015",2,1,0,0,100,0.350622788071632
"S0015",3,1,0,0,100,0.290915861725807
"S0015",1,2,0,0,98.9583333333333,0.283932983875275
"S0015",2,2,0,0,100,0.258488982915878
"S0015",3,2,0,0,100,0.278577208518982
"S0018",1,1,1,1,89.5833333333333,0.476558052003384
"S0018",2,1,1,1,81.25,0.493823625147343
"S0018",3,1,1,1,71.875,0.720323659479618
"S0018",1,2,1,1,92.7083333333333,0.366180459658305
"S0018",2,2,1,1,93.75,0.380415268242359
"S0018",3,2,1,1,84.375,0.470536887645721
"S0018",1,1,0,1,92.7083333333333,0.168493027488391
"S0018",2,1,0,1,96.875,0.161514438688755
"S0018",3,1,0,1,93.75,0.311681933701038
"S0018",1,2,0,1,93.75,0.141847374538581
"S0018",2,2,0,1,100,0.135727651417255
"S0018",3,2,0,1,100,0.253949895501137
"S0018",1,1,1,0,87.5,0.477859402696292
"S0018",2,1,1,0,100,0.4727798178792
"S0018",3,1,1,0,90.625,0.57294213026762
"S0018",1,2,1,0,92.7083333333333,0.293540058036645
"S0018",2,2,1,0,90.625,0.276446364820004
"S0018",3,2,1,0,93.75,0.339412577450275
"S0018",1,1,0,0,100,0.0688260619839032
"S0018",2,1,0,0,100,0.054247222840786
"S0018",3,1,0,0,100,0.0302275419235229
"S0018",1,2,0,0,100,0.0849435577789942
"S0018",2,2,0,0,100,0.0628629177808762
"S0018",3,2,0,0,100,0.0584696754813194
"S0019",1,1,1,1,75,0.26227326442798
"S0019",2,1,1,1,71.875,0.450856767594814
"S0019",3,1,1,1,62.5,0.409151323139668
"S0019",1,2,1,1,76.0416666666667,0.367238568762938
"S0019",2,2,1,1,84.375,0.273996263742447
"S0019",3,2,1,1,65.625,0.303575687110424
"S0019",1,1,0,1,91.6666666666667,0.416078060865402
"S0019",2,1,0,1,93.75,0.391845501959324
"S0019",3,1,0,1,100,0.348897218704224
"S0019",1,2,0,1,86.4583333333333,0.259816500047843
"S0019",2,2,0,1,62.5,0.23883306235075
"S0019",3,2,0,1,75,0.324057601392269
"S0019",1,1,1,0,76.0416666666667,0.232751722137133
"S0019",2,1,1,0,71.875,0.350701354444027
"S0019",3,1,1,0,65.625,0.30079647898674
"S0019",1,2,1,0,81.25,0.224005890389284
"S0019",2,2,1,0,75,0.1643922701478
"S0019",3,2,1,0,68.75,0.403071716427803
"S0019",1,1,0,0,100,0.227013262609641
"S0019",2,1,0,0,96.875,0.422896422445774
"S0019",3,1,0,0,100,0.149567559361458
"S0019",1,2,0,0,96.875,0.135907118519147
"S0019",2,2,0,0,96.875,0.181287840008736
"S0019",3,2,0,0,100,0.113630451261997
"S0070",1,1,1,1,91.6666666666667,0.0677544424931208
"S0070",2,1,1,1,90.625,0.0780204683542252
"S0070",3,1,1,1,78.125,0.130899846553802
"S0070",1,2,1,1,94.7916666666667,0.0710693895816803
"S0070",2,2,1,1,90.625,0.0473050475120544
"S0070",3,2,1,1,87.5,0.135464631021023
"S0070",1,1,0,1,94.7916666666667,0.0500545377532641
"S0070",2,1,0,1,93.75,0.0535556375980377
"S0070",3,1,0,1,96.875,0.0580015555024147
"S0070",1,2,0,1,92.7083333333333,0.0505881607532501
"S0070",2,2,0,1,96.875,0.0807048007845879
"S0070",3,2,0,1,84.375,0.10885263979435
"S0070",1,1,1,0,90.625,0.0906468605001767
"S0070",2,1,1,0,78.125,0.125773966312408
"S0070",3,1,1,0,75,0.163694523274899
"S0070",1,2,1,0,95.8333333333333,0.0738165775934855
"S0070",2,2,1,0,90.625,0.0980316326022148
"S0070",3,2,1,0,96.875,0.196487002074718
"S0070",1,1,0,0,98.9583333333333,0.0461309577027957
"S0070",2,1,0,0,96.875,0.106451205909252
"S0070",3,1,0,0,100,0.038736455142498
"S0070",1,2,0,0,100,0.045350303252538
"S0070",2,2,0,0,100,0.0369534119963646
"S0070",3,2,0,0,100,0.0447849929332733
"S0071",1,1,1,1,90.625,0.263937736550967
"S0071",2,1,1,1,71.875,0.353938087821007
"S0071",3,1,1,1,75,0.365542329847813
"S0071",1,2,1,1,86.4583333333333,0.223243313531081
"S0071",2,2,1,1,84.375,0.319250173866749
"S0071",3,2,1,1,84.375,0.292882151901722
"S0071",1,1,0,1,71.875,0.300640240311623
"S0071",2,1,0,1,75,0.362403944134712
"S0071",3,1,0,1,75,0.366445511579514
"S0071",1,2,0,1,83.3333333333333,0.217415223519007
"S0071",2,2,0,1,71.875,0.216535151004791
"S0071",3,2,0,1,81.25,0.302848629653454
"S0071",1,1,1,0,68.75,0.362026872734229
"S0071",2,1,1,0,81.25,0.428101561963558
"S0071",3,1,1,0,71.875,0.619435757398605
"S0071",1,2,1,0,87.5,0.22872102757295
"S0071",2,2,1,0,90.625,0.229924105107784
"S0071",3,2,1,0,90.625,0.33165018260479
"S0071",1,1,0,0,100,0.222810459633668
