sdt_SID,sdt_Validity,sdt_Target,sdt_nontargetContrast,det_dPrime,det_crit,dis_dPrime,dis_crit
"S0071",3,1,3,2.86463246323739,0.733790521273635,2.34689984864123,-0.252626947952234
"S0071",1,2,3,3.61785507470863,0.349072420801572,2.88201377649825,-0.290657507873119
"S0071",2,2,3,3.33505559742381,0.498578954180424,3.36746956210099,0.119008309688696
"S0071",3,2,3,2.76937789580532,0.0495112117837215,3.01308124779766,0.356191243522822
"S0085",1,1,1,4.17228723663458,0.141463347500771,2.47785300469148,0.0426250631988608
"S0085",2,1,1,3.2328779854699,0.377544613153592,2.22938310685561,0.249797194742523
"S0085",3,1,1,3.96518249386299,0.440604948077049,2.35852547198811,0.0684911193572694
"S0085",1,2,1,4.07701991978601,-0.27444003513849,3.25320705949377,0.166748413194141
"S0085",2,2,1,3.76869710573577,-0.275695870316399,2.76937789580532,0.0495112117837215
"S0085",3,2,1,3.76869710573577,-0.275695870316399,2.34265802822377,0.262871145574497
"S0085",1,1,2,3.81423168968218,0.0397869314013293,1.9107979541834,0.158538238264987
"S0085",2,1,2,3.56698019147949,-0.0928684661548487,1.77065368194631,0.163804556990814
"S0085",3,1,2,4.04246531478693,0.144874095498867,1.77065368194631,0.163804556990814
"S0085",1,2,2,3.73823185648805,-0.445781307216047,3.14187914593738,0.300931157898555
"S0085",2,2,2,3.12411241724592,-0.314302353271635,2.8184094519807,0.48030523434308
"S0085",3,2,2,3.12411241724592,-0.314302353271635,1.97803088961124,0.0601159531583503
"S0085",1,1,3,4.43260821070829,0.348975191914381,3.18458992377345,-0.148995638138471
"S0085",2,1,3,2.96518951502751,0.683511995378575,2.61044627209162,0.463601902472896
"S0085",3,1,3,3.33505559742381,0.498578954180424,2.81693603261618,-0.0567657763774306
"S0085",1,2,3,4.60641728538762,0.262070654574714,3.16955620717645,0.0402026180249717
"S0085",2,2,3,4.04246531478693,0.144874095498867,2.61385786932577,-0.257797536698914
"S0085",3,2,3,4.04246531478693,0.144874095498867,2.61103224431577,0.583993838175544
"S0105",1,1,1,5.10848761234281,0.241293811139909,1.92579327199371,0.0757500769779783
"S0105",2,1,1,3.47825932967039,-0.130476982283708,2.1067937313431,0.0434066964219657
"S0105",3,1,1,4.29280284212745,0.276794773944821,1.55136710288428,0.171098204858904
"S0105",1,2,1,4.13288641956523,0.0274507209813195,2.19777818525611,0.383270361025416
"S0105",2,2,1,3.86359025300745,0.0621884793848205,1.74384332724963,0.0954999024768869
"S0105",3,2,1,4.58324061819283,0.13157588591213,1.57200691268494,0.181418109759232
"S0105",1,1,2,4.60641728538762,0.262070654574714,1.46612835793946,0.0585744287736464
"S0105",2,1,2,3.12411241724592,-0.314302353271635,1.97803088961124,0.0601159531583503
"S0105",3,1,2,3.71581265362892,0.30820042607787,1.12052724738464,0.018868538563234
"S0105",1,2,2,3.66540501733339,-0.0346264047730657,2.12153792497275,0.553897339928439
"S0105",2,2,2,3.24032753032149,0.0704578644241542,1.70793864735126,-0.0331772353432478
"S0105",3,2,2,4.04246531478693,0.144874095498867,1.42652334179253,0.335869727067709
"S0105",1,1,3,4.8801765327286,0.125191030904225,2.39709963105687,0.130979291650295
"S0105",2,1,3,3.71581265362892,0.30820042607787,1.93627795698285,0.0809924194725476
"S0105",3,1,3,4.04246531478693,0.144874095498867,1.89309732505975,0.405153577400787
"S0105",1,2,3,4.60641728538762,0.262070654574714,2.21946497697721,0.20827840881493
"S0105",2,2,3,4.04246531478693,0.144874095498867,1.59052648309306,0.253868156417442
"S0105",3,2,3,4.04246531478693,0.144874095498867,1.54231437231472,0.0496349021750187
"S0108",1,1,1,3.70875019557104,-0.0903051730310009,2.13041330566461,-0.306313819970527
"S0108",2,1,1,3.53596990474299,0.225998653517049,2.0777593645462,-0.0920979259720562
"S0108",3,1,1,3.2328779854699,0.377544613153592,1.54287524386048,-0.729648324113786
"S0108",1,2,1,4.21592230911721,-0.455524634437126,2.53468652886716,-0.272037610713834
"S0108",2,2,1,3.44159598872888,-0.439246428819842,2.30259930222064,-0.183878085008618
"S0108",3,2,1,3.64158891361039,-0.33924996637909,1.91680743929478,-0.21054512488409
"S0108",1,1,2,3.53957164046131,-0.271352167888443,2.01211653143114,-0.528062278636978
"S0108",2,1,2,3.56698019147949,-0.0928684661548487,1.35042650161453,-0.0463090331750766
"S0108",3,1,2,3.56698019147949,-0.0928684661548487,0.887524522290151,-0.743069171610743
"S0108",1,2,2,3.60828699919077,-0.510753735864688,2.38394563042682,-0.0780355998567235
"S0108",2,2,2,2.72885359616929,-0.511931763809951,2.23596283071979,-0.0688500173959233
"S0108",3,2,2,2.97316212398811,-0.389777499900541,1.35042650161453,-0.0463090331750766
"S0108",1,1,3,3.89450696340301,0.210746476454379,2.23866986384641,-0.0181894235493518
"S0108",2,1,3,3.33505559742381,0.498578954180424,2.81909684334756,-0.0915375243702441
"S0108",3,1,3,2.96518951502751,0.683511995378575,1.9289415441427,-0.500763020614172
"S0108",1,2,3,4.8801765327286,0.125191030904225,2.60498625339223,-0.438797473329079
"S0108",2,2,3,4.04246531478693,0.144874095498867,2.0076235210882,-0.183019672211719
"S0108",3,2,3,4.04246531478693,0.144874095498867,2.38551855969418,-0.371967191514709
"S0111",1,1,1,2.96413751933841,-0.145450116100071,2.58919001140816,0.267440732789079
"S0111",2,1,1,2.54883917046379,-0.151657287040953,2.04072286120636,0.39743570739309
"S0111",3,1,1,3.5829382404439,0.631727074786597,2.50730447777259,0.887545882085724
"S0111",1,2,1,3.15460158225165,-0.101123756859498,2.7679914319232,0.394827088620966
"S0111",2,2,1,4.29280284212745,0.276794773944821,3.55335349700655,-0.0860551189183768
"S0111",3,2,1,3.67733186989215,0.155317670942468,2.56308628179232,0.394396581877284
"S0111",1,1,2,3.12517020315111,-0.478552886543541,2.58801931237367,0.0240012411167005
"S0111",2,1,2,2.52719586833907,-0.612760627725059,2.28060173157793,0.211401374141695
"S0111",3,1,2,3.50128448901127,0.415464508386696,2.35150827853632,0.686977728153491
"S0111",1,2,2,2.72161352207066,-0.178574114112082,2.64509039452362,0.281538285505693
"S0111",2,2,2,4.04246531478693,0.144874095498867,2.91642871129246,-0.106512115715569
"S0111",3,2,2,3.56698019147949,-0.0928684661548487,2.073224523913,0.315089977974159
"S0111",1,1,3,3.0047014251196,0.178543289784927,2.59162362375964,0.547953217116517
"S0111",2,1,3,3.1960635151177,0.56807499533348,1.49802326709624,0.568999263755416
"S0111",3,1,3,3.07456462142971,0.628824442177472,1.95929048271129,0.883086626066006
"S0111",1,2,3,3.68340978148955,0.105197885497647,2.73515291313884,0.495155410852231
"S0111",2,2,3,3.71581265362892,0.30820042607787,3.42363050468598,0.177694707990442
"S0111",3,2,3,3.50128448901127,0.415464508386696,2.74987842644053,0.487792654201388
"S0122",1,1,1,3.13707665516721,-0.16555483556764,1.7215354582961,0.0717600646424444
"S0122",2,1,1,3.64158891361039,-0.33924996637909,1.31617726161875,0.309332935292328
"S0122",3,1,1,3.63843168563761,-0.050390804300098,1.50824286633574,0.323394133872411
"S0122",1,2,1,3.65027854165222,-0.11954099999041,3.0083129496848,-0.2226049092978
"S0122",2,2,1,3.35115113754501,-0.194031078346399,2.62722146777687,-0.236095166848155
"S0122",3,2,1,3.53596990474299,0.225998653517049,1.98258755347476,0.23856498247921
"S0122",1,1,2,3.35354394843491,-0.638125261242621,1.16218058654345,0.0151414713388609
"S0122",2,1,2,2.97316212398811,-0.389777499900541,0.747000814524108,0.447291681070327
"S0122",3,1,2,3.56698019147949,-0.0928684661548487,1.97803088961124,0.0601159531583503
"S0122",1,2,2,3.81333088780229,-0.408231791558932,2.76468279341672,-0.358949203316837
"S0122",2,2,2,2.97316212398811,-0.389777499900541,2.23596283071979,-0.0688500173959233
"S0122",3,2,2,3.24032753032149,0.0704578644241542,2.02619199012674,0.33860624486729
"S0122",1,1,3,3.54661955977204,0.384690178269863,2.44478819896525,0.209500762037934
"S0122",2,1,3,4.04246531478693,0.144874095498867,1.77065368194631,0.163804556990814
"S0122",3,1,3,3.24032753032149,0.0704578644241542,0.936198895441309,0.541890721528927
"S0122",1,2,3,3.57694400539674,0.15843077354405,3.13806265313344,0.0456349758480903
"S0122",2,2,3,3.71581265362892,0.30820042607787,2.57471664061138,-0.277368151056108
"S0122",3,2,3,3.50128448901127,0.415464508386696,1.68447991944566,0.16775020952675
"S0133",1,1,1,3.93430650214226,0.0224729802546105,3.14925450992442,-0.462206876739179
"S0133",2,1,1,2.96489982954821,-0.200898349229504,1.33224308400439,-0.22102501701668
"S0133",3,1,1,3.31081133737315,0.11341936983213,1.51592382341539,-0.252028257541885
"S0133",1,2,1,4.40684392579543,-0.109528032133783,3.04783836715059,-0.106122045579027
"S0133",2,2,1,4.29280284212745,0.276794773944821,2.28543246340524,-0.175294665600918
"S0133",3,2,1,2.91666599304242,-0.0836533023332353,2.07559394023016,-0.112552410260928
"S0133",1,1,2,3.9957912378048,-0.317001616557673,2.85522781538188,-0.313676692334254
"S0133",2,1,2,2.18767277039363,-0.241341350922121,0.410363998381557,-0.283594411923891
"S0133",3,1,2,3.31055872158097,-0.221079201104108,1.07688660137311,-0.390456190960716
"S0133",1,2,2,4.2618000117025,-0.183997229608827,3.00980927824878,-0.0396708464388663
"S0133",2,2,2,4.04246531478693,0.144874095498867,1.81573565038801,-0.278963607561814
"S0133",3,2,2,2.8437801279963,-0.454468497896447,1.55780370927946,-0.14999763700754
"S0133",1,1,3,4.19532052642285,0.467619034057101,3.11131169463434,-0.481178284384219
"S0133",2,1,3,4.04246531478693,0.144874095498867,2.23596283071979,-0.0688500173959233
"S0133",3,1,3,3.33505559742381,0.498578954180424,1.85456812512058,0.0401375035414126
"S0133",1,2,3,4.19913794627498,0.0584309850183942,2.86258638286679,-0.113282294129859
"S0133",2,2,3,3.71581265362892,0.30820042607787,2.50205162030667,0.100676429777327
"S0133",3,2,3,3.33505559742381,0.498578954180424,2.43190094592061,0.0656010925842961
