SID,Validity,Target,targetContrast,nontargetContrast,point95_SwapAcc
"S0070",3,1,1,0,100
"S0070",1,2,1,0,NaN
"S0070",2,2,1,0,66.6666666666667
"S0070",3,2,1,0,NaN
"S0070",1,1,0,0,NaN
"S0070",2,1,0,0,NaN
"S0070",3,1,0,0,NaN
"S0070",1,2,0,0,NaN
"S0070",2,2,0,0,NaN
"S0070",3,2,0,0,NaN
"S0071",1,1,1,1,46.1538461538462
"S0071",2,1,1,1,100
"S0071",3,1,1,1,20
"S0071",1,2,1,1,46.1538461538462
"S0071",2,2,1,1,100
"S0071",3,2,1,1,20
"S0071",1,1,0,1,87.5
"S0071",2,1,0,1,88.8888888888889
"S0071",3,1,0,1,66.6666666666667
"S0071",1,2,0,1,87.5
"S0071",2,2,0,1,88.8888888888889
"S0071",3,2,0,1,66.6666666666667
"S0071",1,1,1,0,50
"S0071",2,1,1,0,100
"S0071",3,1,1,0,66.6666666666667
"S0071",1,2,1,0,50
"S0071",2,2,1,0,100
"S0071",3,2,1,0,66.6666666666667
"S0071",1,1,0,0,NaN
"S0071",2,1,0,0,0
"S0071",3,1,0,0,NaN
"S0071",1,2,0,0,NaN
"S0071",2,2,0,0,NaN
"S0071",3,2,0,0,0
"S0085",1,1,1,1,40
"S0085",2,1,1,1,0
"S0085",3,1,1,1,50
"S0085",1,2,1,1,NaN
"S0085",2,2,1,1,0
"S0085",3,2,1,1,50
"S0085",1,1,0,1,NaN
"S0085",2,1,0,1,NaN
"S0085",3,1,0,1,NaN
"S0085",1,2,0,1,71.4285714285714
"S0085",2,2,0,1,100
"S0085",3,2,0,1,100
"S0085",1,1,1,0,20
"S0085",2,1,1,0,0
"S0085",3,1,1,0,0
"S0085",1,2,1,0,NaN
"S0085",2,2,1,0,0
"S0085",3,2,1,0,0
"S0085",1,1,0,0,NaN
"S0085",2,1,0,0,NaN
"S0085",3,1,0,0,NaN
"S0085",1,2,0,0,NaN
"S0085",2,2,0,0,NaN
"S0085",3,2,0,0,NaN
"S0105",1,1,1,1,33.3333333333333
"S0105",2,1,1,1,16.6666666666667
"S0105",3,1,1,1,57.1428571428571
"S0105",1,2,1,1,33.3333333333333
"S0105",2,2,1,1,16.6666666666667
"S0105",3,2,1,1,57.1428571428571
"S0105",1,1,0,1,NaN
"S0105",2,1,0,1,100
"S0105",3,1,0,1,NaN
"S0105",1,2,0,1,NaN
"S0105",2,2,0,1,NaN
"S0105",3,2,0,1,NaN
"S0105",1,1,1,0,7.69230769230769
"S0105",2,1,1,0,0
"S0105",3,1,1,0,0
"S0105",1,2,1,0,7.69230769230769
"S0105",2,2,1,0,0
"S0105",3,2,1,0,0
"S0105",1,1,0,0,NaN
"S0105",2,1,0,0,NaN
"S0105",3,1,0,0,NaN
"S0105",1,2,0,0,NaN
"S0105",2,2,0,0,NaN
"S0105",3,2,0,0,NaN
"S0108",1,1,1,1,50
"S0108",2,1,1,1,66.6666666666667
"S0108",3,1,1,1,42.8571428571429
"S0108",1,2,1,1,50
"S0108",2,2,1,1,66.6666666666667
"S0108",3,2,1,1,42.8571428571429
"S0108",1,1,0,1,77.7777777777778
"S0108",2,1,0,1,NaN
"S0108",3,1,0,1,NaN
"S0108",1,2,0,1,77.7777777777778
"S0108",2,2,0,1,83.3333333333333
"S0108",3,2,0,1,100
"S0108",1,1,1,0,0
"S0108",2,1,1,0,0
"S0108",3,1,1,0,0
